date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-03-29,5.13,5.24,5.24,5.1,107567.9,0.12,2.34,5.214,5.217,5.086,123562.04,141841.79,148221.61
2019-03-28,5.13,5.27,5.12,5.1,94955.4,-0.03,-0.58,5.248,5.197,5.06,138562.55,142090.0,147714.1
2019-03-27,5.18,5.24,5.15,5.05,84403.11,-0.01,-0.19,5.274,5.178,5.038,148812.76,145085.38,147828.84
2019-03-26,5.41,5.47,5.16,5.14,149033.7,-0.24,-4.44,5.276,5.172,5.016,159151.92,153876.84,149038.07
2019-03-25,5.35,5.57,5.4,5.28,181850.09,-0.01,-0.18,5.266,5.166,4.992,159946.9,159600.96,149455.29
2019-03-22,5.26,5.43,5.41,5.21,182570.45,0.16,3.05,5.22,5.126,4.957,160121.55,156786.45,149849.41
2019-03-21,5.2,5.31,5.25,5.17,146206.45,0.09,1.74,5.146,5.061,4.911,145617.44,154335.19,144813.53
2019-03-20,5.12,5.22,5.16,5.08,136098.91,0.05,0.98,5.082,5.04,4.868,141358.0,155380.63,142307.05
2019-03-19,5.18,5.21,5.11,5.07,153008.59,-0.06,-1.16,5.068,5.021,4.83,148601.76,159294.43,138875.32
2019-03-18,5.33,5.33,5.17,5.11,182723.34,0.13,2.58,5.066,4.994,4.795,159255.02,156833.4,135514.69
2019-03-15,4.97,5.1,5.04,4.97,110049.93,0.11,2.23,5.032,4.954,4.759,153451.35,154601.43,130130.24
2019-03-14,5.05,5.14,4.93,4.82,124909.22,-0.16,-3.14,4.976,4.922,4.722,163052.94,153338.21,127417.47
2019-03-13,5.12,5.3,5.09,5.04,172317.73,-0.01,-0.2,4.998,4.898,4.691,169403.27,150572.31,125896.04
2019-03-12,5.03,5.23,5.1,5.01,206274.89,0.1,2.0,4.974,4.859,4.651,169987.1,144199.29,121510.96
2019-03-11,4.76,5.01,5.0,4.76,153704.98,0.24,5.04,4.922,4.817,4.607,154411.77,139309.62,114943.2
2019-03-08,4.98,5.04,4.76,4.76,158057.86,-0.28,-5.56,4.876,4.787,4.568,155751.5,142912.37,109680.96
2019-03-07,4.95,5.1,5.04,4.91,156660.88,0.07,1.41,4.868,4.76,4.537,143623.48,135291.88,103845.01
2019-03-06,4.9,5.07,4.97,4.84,175236.88,0.13,2.69,4.798,4.696,4.486,131741.35,129233.47,98177.07
2019-03-05,4.78,4.86,4.84,4.73,128398.27,0.07,1.47,4.744,4.639,4.439,118411.48,118456.22,91327.1
2019-03-04,4.79,4.83,4.77,4.73,160403.62,0.05,1.06,4.712,4.596,4.396,124207.47,114195.98,88119.14
2019-03-01,4.71,4.76,4.72,4.65,97417.73,0.03,0.64,4.698,4.563,4.364,130073.24,105659.05,81521.43
2019-02-28,4.7,4.82,4.69,4.67,97250.25,-0.01,-0.21,4.652,4.521,4.334,126960.27,101496.74,77936.3
2019-02-27,4.65,4.83,4.7,4.62,108587.54,0.02,0.43,4.594,4.484,4.308,126725.59,101219.78,74431.26
2019-02-26,4.73,4.77,4.68,4.62,157378.19,-0.02,-0.43,4.534,4.442,4.281,118500.95,98822.64,70627.2
2019-02-25,4.53,4.72,4.7,4.51,189732.47,0.21,4.68,4.48,4.397,4.256,104184.49,90576.78,64507.93
2019-02-22,4.38,4.49,4.49,4.37,81852.92,0.09,2.04,4.428,4.348,4.232,81244.86,76449.55,56933.97
